    Target   Comparison1   Comparison2  AlexNet_finetuned_conv1  AlexNet_finetuned_conv2  AlexNet_finetuned_conv3  AlexNet_finetuned_conv4  AlexNet_finetuned_conv5  AlexNet_finetuned_fc6  AlexNet_finetuned_fc7  AlexNet_finetuned_fc8_blocks  AlexNet_finetuned_norm1  AlexNet_finetuned_norm2  AlexNet_finetuned_pool1  AlexNet_finetuned_pool2  AlexNet_finetuned_pool5  AlexNet_finetuned_prob
190     o6   o6_t2_mf_d1   o6_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
191     o6   o6_t2_mf_d1   o6_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
192     o6   o6_t2_mf_d1   o6_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
193     o6   o6_t2_mf_d2   o6_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
194     o6   o6_t2_mf_d2   o6_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
195     o6   o6_t2_rp_d1   o6_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
196     o7   o7_t1_cs_d1   o7_t1_cs_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       0
197     o7   o7_t1_cs_d1   o7_t2_ap_d1                        0                        0                        0                        0                        1                      1                      1                             0                        0                        0                        0                        0                        1                       0
198     o7   o7_t1_cs_d1   o7_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
199     o7   o7_t1_cs_d1   o7_t2_mf_d1                        0                        0                        0                        0                        1                      1                      1                             1                        0                        0                        0                        0                        1                       1
200     o7   o7_t1_cs_d1   o7_t2_mf_d2                        0                        0                        1                        1                        1                      1                      1                             1                        0                        0                        0                        0                        1                       0
201     o7   o7_t1_cs_d1   o7_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       0
202     o7   o7_t1_cs_d1   o7_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
203     o7   o7_t1_cs_d2   o7_t2_ap_d1                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       0
204     o7   o7_t1_cs_d2   o7_t2_ap_d2                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       0
205     o7   o7_t1_cs_d2   o7_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
206     o7   o7_t1_cs_d2   o7_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
207     o7   o7_t1_cs_d2   o7_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        1                        1                       1
208     o7   o7_t1_cs_d2   o7_t2_rp_d2                        0                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        1                       0
209     o7   o7_t2_ap_d1   o7_t2_ap_d2                        1                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
210     o7   o7_t2_ap_d1   o7_t2_mf_d1                        0                        0                        0                        0                        1                      1                      1                             1                        0                        0                        0                        0                        1                       1
211     o7   o7_t2_ap_d1   o7_t2_mf_d2                        0                        0                        1                        1                        1                      1                      1                             1                        0                        1                        1                        0                        1                       1
212     o7   o7_t2_ap_d1   o7_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
213     o7   o7_t2_ap_d1   o7_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
214     o7   o7_t2_ap_d2   o7_t2_mf_d1                        0                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
215     o7   o7_t2_ap_d2   o7_t2_mf_d2                        0                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
216     o7   o7_t2_ap_d2   o7_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        1                       1
217     o7   o7_t2_ap_d2   o7_t2_rp_d2                        0                        0                        1                        1                        1                      0                      0                             0                        0                        1                        1                        1                        1                       0
218     o7   o7_t2_mf_d1   o7_t2_mf_d2                        0                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
219     o7   o7_t2_mf_d1   o7_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
220     o7   o7_t2_mf_d1   o7_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
221     o7   o7_t2_mf_d2   o7_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
222     o7   o7_t2_mf_d2   o7_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
223     o7   o7_t2_rp_d1   o7_t2_rp_d2                        1                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        1                       0
224     o8   o8_t1_cs_d1   o8_t1_cs_d2                        0                        0                        0                        0                        0                      1                      1                             0                        0                        0                        0                        0                        0                       1
225     o8   o8_t1_cs_d1   o8_t2_ap_d1                        1                        0                        0                        0                        1                      1                      1                             1                        0                        0                        0                        0                        1                       1
226     o8   o8_t1_cs_d1   o8_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
227     o8   o8_t1_cs_d1   o8_t2_mf_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
228     o8   o8_t1_cs_d1   o8_t2_mf_d2                        0                        0                        0                        0                        1                      1                      0                             1                        0                        0                        1                        0                        1                       0
229     o8   o8_t1_cs_d1   o8_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             0                        0                        0                        0                        0                        0                       1
230     o8   o8_t1_cs_d1   o8_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
231     o8   o8_t1_cs_d2   o8_t2_ap_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
232     o8   o8_t1_cs_d2   o8_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
233     o8   o8_t1_cs_d2   o8_t2_mf_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        1                       1
234     o8   o8_t1_cs_d2   o8_t2_mf_d2                        1                        1                        1                        1                        1                      1                      0                             1                        1                        1                        1                        1                        1                       0
235     o8   o8_t1_cs_d2   o8_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
236     o8   o8_t1_cs_d2   o8_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
237     o8   o8_t2_ap_d1   o8_t2_ap_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
238     o8   o8_t2_ap_d1   o8_t2_mf_d1                        0                        0                        0                        0                        0                      0                      1                             0                        0                        0                        0                        0                        0                       1
239     o8   o8_t2_ap_d1   o8_t2_mf_d2                        0                        1                        1                        1                        0                      0                      0                             0                        1                        1                        1                        1                        0                       0
240     o8   o8_t2_ap_d1   o8_t2_rp_d1                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
241     o8   o8_t2_ap_d1   o8_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
242     o8   o8_t2_ap_d2   o8_t2_mf_d1                        0                        0                        0                        1                        1                      1                      1                             1                        0                        0                        0                        0                        1                       1
243     o8   o8_t2_ap_d2   o8_t2_mf_d2                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       0
244     o8   o8_t2_ap_d2   o8_t2_rp_d1                        1                        0                        1                        1                        1                      1                      1                             1                        1                        1                        0                        0                        1                       1
245     o8   o8_t2_ap_d2   o8_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
246     o8   o8_t2_mf_d1   o8_t2_mf_d2                        1                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        1                       0
247     o8   o8_t2_mf_d1   o8_t2_rp_d1                        1                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        0                       1
248     o8   o8_t2_mf_d1   o8_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
249     o8   o8_t2_mf_d2   o8_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             0                        0                        0                        0                        0                        0                       1
250     o8   o8_t2_mf_d2   o8_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
251     o8   o8_t2_rp_d1   o8_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
252     o9   o9_t1_cs_d1   o9_t1_cs_d2                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       0
253     o9   o9_t1_cs_d1   o9_t2_ap_d1                        1                        0                        0                        0                        0                      1                      1                             1                        1                        0                        1                        0                        0                       0
254     o9   o9_t1_cs_d1   o9_t2_ap_d2                        1                        0                        1                        1                        1                      1                      1                             1                        1                        0                        1                        0                        1                       1
255     o9   o9_t1_cs_d1   o9_t2_mf_d1                        1                        1                        1                        1                        1                      1                      1                             0                        1                        0                        1                        0                        1                       1
256     o9   o9_t1_cs_d1   o9_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       0
257     o9   o9_t1_cs_d1   o9_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        0                        0                       1
258     o9   o9_t1_cs_d1   o9_t2_rp_d2                        0                        0                        1                        0                        0                      0                      0                             0                        0                        1                        0                        1                        1                       0
259     o9   o9_t1_cs_d2   o9_t2_ap_d1                        1                        0                        0                        0                        0                      0                      0                             1                        0                        0                        1                        0                        0                       1
260     o9   o9_t1_cs_d2   o9_t2_ap_d2                        0                        0                        0                        0                        1                      1                      1                             1                        0                        0                        0                        0                        0                       1
261     o9   o9_t1_cs_d2   o9_t2_mf_d1                        1                        0                        0                        0                        0                      0                      0                             0                        1                        0                        1                        0                        0                       1
262     o9   o9_t1_cs_d2   o9_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       1
263     o9   o9_t1_cs_d2   o9_t2_rp_d1                        0                        0                        0                        0                        0                      0                      1                             1                        0                        0                        0                        0                        0                       1
264     o9   o9_t1_cs_d2   o9_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
265     o9   o9_t2_ap_d1   o9_t2_ap_d2                        0                        0                        1                        1                        1                      1                      1                             1                        1                        1                        0                        1                        1                       1
266     o9   o9_t2_ap_d1   o9_t2_mf_d1                        0                        1                        1                        1                        1                      1                      0                             0                        1                        1                        0                        1                        1                       1
267     o9   o9_t2_ap_d1   o9_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       1
268     o9   o9_t2_ap_d1   o9_t2_rp_d1                        0                        0                        1                        1                        0                      1                      1                             1                        0                        1                        0                        1                        1                       1
269     o9   o9_t2_ap_d1   o9_t2_rp_d2                        0                        0                        1                        1                        1                      0                      0                             0                        0                        1                        0                        1                        1                       0
270     o9   o9_t2_ap_d2   o9_t2_mf_d1                        1                        1                        0                        0                        0                      0                      0                             0                        1                        0                        1                        1                        0                       0
271     o9   o9_t2_ap_d2   o9_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        0                        0                        0                        0                       0
272     o9   o9_t2_ap_d2   o9_t2_rp_d1                        0                        1                        0                        0                        0                      0                      1                             1                        0                        0                        0                        1                        0                       1
273     o9   o9_t2_ap_d2   o9_t2_rp_d2                        0                        1                        0                        0                        0                      0                      0                             0                        0                        1                        0                        1                        0                       0
274     o9   o9_t2_mf_d1   o9_t2_mf_d2                        0                        0                        0                        0                        0                      0                      0                             1                        0                        0                        0                        0                        0                       0
275     o9   o9_t2_mf_d1   o9_t2_rp_d1                        0                        0                        0                        0                        0                      1                      1                             1                        0                        0                        0                        1                        0                       1
276     o9   o9_t2_mf_d1   o9_t2_rp_d2                        0                        0                        0                        0                        0                      0                      0                             0                        0                        1                        0                        1                        0                       0
277     o9   o9_t2_mf_d2   o9_t2_rp_d1                        1                        1                        1                        1                        1                      1                      1                             1                        1                        1                        1                        1                        1                       1
278     o9   o9_t2_mf_d2   o9_t2_rp_d2                        1                        1                        1                        1                        1                      1                      1                             0                        1                        1                        1                        1                        1                       0
279     o9   o9_t2_rp_d1   o9_t2_rp_d2                        1                        1                        1                        1                        1                      0                      0                             0                        1                        1                        1                        1                        1                       0
